"conversation_id_str","created_at","favorite_count","full_text","id_str","image_url","in_reply_to_screen_name","lang","location","quote_count","reply_count","retweet_count","tweet_url","user_id_str","username"
"1820874248275292595","Tue Aug 06 17:27:05 +0000 2024","1","Menag pertama di RI Rasjidi adalah kader Muhammadiyah. Zaman Soekarno beberapa kali Menag diisi Muhammadiyah salah satunya Fakih Usman. Orba menagnya didominasi Golkar. Terakhir menag Muhammadiyah ada di zaman Habibie. Abdul Malik Fadjar yang pernah jadi watimpres Jokowi.","1820874248275292595","","","in","southeast asia","0","1","0","https://x.com/veefathan/status/1820874248275292595","417774373","veefathan"
"1820764727875883096","Tue Aug 06 17:26:44 +0000 2024","0","@HajrinMantu @GirlBieberJ @prabowo @jokowi @gibran_tweet @NatRothschild1 @AbasBalapradana @ShenaSheira @BANGSAygSUJUD Prabowo akan menjaga perekonomian Indonesia dengan baik.","1820874160756945249","","HajrinMantu","in","","0","0","0","https://x.com/24_isti/status/1820874160756945249","1120814994","24_isti"
"1820861989553631313","Tue Aug 06 17:26:44 +0000 2024","2","@mas_veel @Rocky_Antonie hape banteng dibanting Jokowi auto soaak 16%. klo dada masih busung juga hape bakal auto remuk 0% di pilkada","1820874159561568422","","mas_veel","in","Jakarta Capital Region","0","0","0","https://x.com/temanduit/status/1820874159561568422","1299521463150542849","temanduit"
"1820466590389023042","Tue Aug 06 17:26:24 +0000 2024","0","@RK_Lamongan Rakyat gob*lok klo sampe keluarga jokowi menang di daerah manapun","1820874076564693423","","RK_Lamongan","in","","0","0","0","https://x.com/AqulilaDarksoul/status/1820874076564693423","973936095321759744","AqulilaDarksoul"
"1820759732778566005","Tue Aug 06 17:26:24 +0000 2024","0","@HajrinMantu @griselruiz88 @prabowo @jokowi @gibran_tweet @NatRothschild1 @DS_yantie @JhonSitorus_18 @BANGSAygSUJUD Prabowo akan memastikan kerjasama ini membawa manfaat bagi Indonesia.","1820874073678979320","","HajrinMantu","in","","0","0","0","https://x.com/24_isti/status/1820874073678979320","1120814994","24_isti"
"1820845522296746477","Tue Aug 06 17:25:41 +0000 2024","0","@ranggavega @jokowi rel kereto ae dicolongi lagi arep ngecor dalan sesuke wesi wes ilang je.. pie arep nyusul","1820873895626600538","","ranggavega","in","between S/R line","0","0","0","https://x.com/iBayem/status/1820873895626600538","158661405","iBayem"
"1820679911805497536","Tue Aug 06 17:25:08 +0000 2024","0","@karlinatitik5 Bani Monas limin otaknya busuk suka fitnah jokowi","1820873755817865400","","karlinatitik5","in","","0","0","0","https://x.com/madhadi435/status/1820873755817865400","749650929222230016","madhadi435"
"1820287881141006828","Tue Aug 06 17:24:52 +0000 2024","0","@ngisormejo1010 @Srik4ndiMuslim2 @jokowi @DPR_RI @KPK_RI Tujuh belasan di seluruh Indonesia dari anak2 pe orang tua merayakan riang gembira banyak lomba2 tontonan ini orang malah ngadu sama Allah karena keduhan ' lebai loe https://t.co/8bC0m8y13b","1820873690361594102","https://pbs.twimg.com/media/GUUK-Cka8AIb0Oq.jpg","ngisormejo1010","in","🇮🇩NUSA TEMBINI🇮🇩","0","0","0","https://x.com/OMB4K13/status/1820873690361594102","1365609344448929792","OMB4K13"
"1820787011982070218","Tue Aug 06 17:24:32 +0000 2024","0","@Yurissa_Samosir @kaesangp @choymarkochoy @nomerorae @ay_prakasa2225 @Akang_Tonie @JamalBoegis @mattdilaga @Panitia68285950 @AdamVelcro @MuhiqR @chaidar_2000 Jokowi kelurga besar kemaruk harta dan jabatan. Lips king","1820873605154263390","","Yurissa_Samosir","in","","0","0","0","https://x.com/AqshaGhani/status/1820873605154263390","1556335647928963072","AqshaGhani"
"1820111816716161382","Tue Aug 06 17:24:09 +0000 2024","0","@mohmahfudmd Berani dan jujur dia daripada anda yg menyatakan boleh melanggar konstitusi demi negara ? Dan TAP MPR RI No.6.tahun 2001 bgmn untuk Jokowi. Knp bisa beda saat menko dgn skrg ?","1820873510966980686","","mohmahfudmd","in","Ciledug, Indonesia","0","0","0","https://x.com/lubis10922/status/1820873510966980686","1757548518053695488","lubis10922"
"1820873499768197181","Tue Aug 06 17:24:08 +0000 2024","0","bergantung nyawa diatas seutas SEUTAS (DOANG) tali. @jokowi pernah ga pak bayangin gibran/kaesang diposisi anak anak itu? buat sampe ke sekolah kudu gantung diri dulu. trs pulangnya gitu lagi besoknya lagi on repeat (kalau pun besoknya masih ada nyawa)","1820873503417282847","","handaegguk","in","she/her ","0","0","0","https://x.com/handaegguk/status/1820873503417282847","1373283153222144003","handaegguk"
"1818650168432246899","Tue Aug 06 17:23:47 +0000 2024","0","@jokowi setuju","1820873416448331846","","jokowi","in","","0","0","0","https://x.com/nasywa_sisilia7/status/1820873416448331846","1578651669227003904","nasywa_sisilia7"
"1819169869524611442","Tue Aug 06 17:23:05 +0000 2024","0","@jokowi setuju","1820873239419351225","","jokowi","in","","0","0","0","https://x.com/nasywa_sisilia7/status/1820873239419351225","1578651669227003904","nasywa_sisilia7"
"1820664319073501363","Tue Aug 06 17:22:58 +0000 2024","0","@regar_op0sisi jangan nyalahin presiden mulu. emng dia doang yg kerja? kan setiap daerah di kasih anggaran. ya lu cari yang megang daerah itu. ayolah buka mata gua bukan buzzer jokowi tpi kalo typing lu menyudutkan presiden salah. setiap kota ada walikota&amp;wakil. setiap desa ada camat rt rw.","1820873210797420820","","regar_op0sisi","in","Tangerang Kota, Indonesia","0","1","0","https://x.com/iMadeee0/status/1820873210797420820","1630610211479388162","iMadeee0"
"1818918119123124670","Tue Aug 06 17:22:36 +0000 2024","0","@jokowi setuju","1820873119311261963","","jokowi","in","","0","0","0","https://x.com/arisha_lesa/status/1820873119311261963","1585166035581554688","arisha_lesa"
"1820378706004890049","Tue Aug 06 17:22:27 +0000 2024","0","@jokowi setuju","1820873082510438776","","jokowi","in","","0","0","0","https://x.com/nasywa_sisilia7/status/1820873082510438776","1578651669227003904","nasywa_sisilia7"
"1818918119123124670","Tue Aug 06 17:22:18 +0000 2024","0","@jokowi mantap","1820873043063009307","","jokowi","in","","0","0","0","https://x.com/indah_lestar4/status/1820873043063009307","1597880598848499712","indah_lestar4"
"1820707636431753357","Tue Aug 06 17:19:05 +0000 2024","0","@ArdieSuhardi321 Kalo Jokowi jahat Roky Gerung dah lama mati","1820872235948908855","","ArdieSuhardi321","in","","0","0","0","https://x.com/madhadi435/status/1820872235948908855","749650929222230016","madhadi435"
